dataset,variant,model,mode,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
sisfall,native_2s,random_forest,classification,0.997647344833652,0.0034516566788829043,0.9857504127993229,0.011949539926960025,0.9640763287442133,0.01984272732616448,0.9563942409966544,0.02515581315230423,0.9985401722595386,0.0008453133063577532,0.9600122391202195,0.01624478070270024
sisfall,20hz_2s,random_forest,classification,0.9966011446248842,0.004628133007383074,0.9854884206339986,0.015145338005255242,0.9565912093840412,0.020274392891958665,0.9729184527231372,0.02321863366975215,0.9982612033630064,0.000860168015439458,0.9645119051236902,0.01635004748520837
sisfall,native_2s,xgboost,classification,0.9990100624931852,0.0010032762497027838,0.9870211247581736,0.010547515399872873,0.9472109554988635,0.023322211127933964,0.9689232398868809,0.01991725827375302,0.9978002167859575,0.001059915697814869,0.9578232416651309,0.018036829642889912
sisfall,20hz_2s,xgboost,classification,0.9988419829274633,0.0014536676043402337,0.9876169401976451,0.013122514407299425,0.9626607028619292,0.009388074756761672,0.9658334214321703,0.029746398991498998,0.9985432863987939,0.00039239124039828165,0.9640403635779465,0.015729372280128193
sisfall,native_2s,cnn1d_large,classification,0.9967030668617005,0.0014825875759277394,0.941755661773304,0.014261528296858632,0.8712673019718838,0.029190342700828542,0.929953531708309,0.04260020444798768,0.9944228501246958,0.0016798103687478273,0.8986206093506371,0.010861227070935998
sisfall,20hz_2s,cnn1d_large,classification,0.9962388959260814,0.0054118982808541456,0.9726022498358533,0.015798429732230355,0.9390787437840347,0.022183355162927527,0.9441712850047776,0.03498370038088644,0.9976221524573214,0.0008792991769875402,0.9412967330889884,0.022214966985528425
sisfall,native_2s,lstm_classifier,classification,0.924454730629732,0.03624650583163002,0.353250191493069,0.24140305461566836,0.3863179250065622,0.27582659790438185,0.6738403471342869,0.2886556161771403,0.9265165389706704,0.06800886421405382,0.42989345204631046,0.21652618842660498
sisfall,20hz_2s,lstm_classifier,classification,0.9974275445733806,0.0038067721806120504,0.9837836717622013,0.014990896935664643,0.9492602908699407,0.007604113807577818,0.9560524538394846,0.019905445719446562,0.9980144645476715,0.000331939926186342,0.9526046308228256,0.0133935279005082
sisfall,native_2s,isolation_forest,tsad,0.976930855361777,0.0060913720982876795,0.5524261318279431,0.06072859053795188,0.49528485185444315,0.03961752427478147,0.7005789734504102,0.07272791453998811,0.971353961001029,0.00398501523023308,0.5797647566458448,0.048597298771434524
sisfall,20hz_2s,isolation_forest,tsad,0.9831597630792668,0.004214532025965975,0.5924793773311086,0.06481558422575369,0.5536390332153134,0.0925197145886756,0.8671765634362849,0.057895864378464855,0.9714514928883954,0.010554872445956928,0.6701496572145661,0.05845572630922748
