dataset,variant,model,mode,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
fallalld,20hz_2s,random_forest,classification,0.9815555317609046,0.020017571072162607,0.8544292285546777,0.08822392498454297,0.8480466362149095,0.07395411963720248,0.7502831342659718,0.07086675038301857,0.9979064271631992,0.0013207338261768294,0.7941622349535136,0.05897899161462723
fallalld,20hz_2s,xgboost,classification,0.9926470400952926,0.007096546534722952,0.8655844448477821,0.07398252858275567,0.8454631539596393,0.0582576795670617,0.7891394497086326,0.0862814487501325,0.9978331652871659,0.0010327851228358546,0.8153415664462255,0.06767218917325896
fallalld,20hz_2s,cnn1d,classification,0.9838233850757716,0.015284948200887294,0.7183061884353055,0.1588740589514148,0.74364851677662,0.12238720174250474,0.6865067402916203,0.1500030715959343,0.9965164724736282,0.0016124687592164674,0.7025670386939475,0.10458356303147086
fallalld,20hz_2s,lstm_classifier,classification,0.9492865355838301,0.025575354183159368,0.6406656914031694,0.08745091652982676,0.7122489188470923,0.12072406738115746,0.5680076072348087,0.11260047615948908,0.9964770281211723,0.0020047092723658316,0.6233473254141628,0.09294185208954737
fallalld,20hz_2s,isolation_forest,tsad,0.9619660013572326,0.0193052419868003,0.23335628993024266,0.06445600988933219,0.23170378690378693,0.05746643466938688,0.5820027285759888,0.3165479884644263,0.9728549172638405,0.011355174349823189,0.32077881679978854,0.10680977294663148
fallalld,20hz_2s,lstm_ae,tsad,0.9650807800538292,0.018347744900134494,0.29752679720983866,0.11695106832610225,0.2765658541553957,0.179602118267841,0.5408871655567762,0.2269008436131825,0.9714400755198666,0.019626334291543698,0.3433103099410356,0.17721659980264762
fallalld,20hz_3s,random_forest,classification,0.9878686488710695,0.0142218516239172,0.9222168335370592,0.057982846017371935,0.8779182537409305,0.06935031298758715,0.8657519051959977,0.05603935272026241,0.9947887223893389,0.003013210491675435,0.8708637182876122,0.05411443226829808
fallalld,20hz_3s,xgboost,classification,0.9940954881133914,0.005127523755958092,0.9236085088125424,0.04874576445565745,0.8844523321201002,0.07213309533194003,0.8624181060963909,0.0542707556022368,0.9951020217205345,0.0031019156323028874,0.8721742748704617,0.05365278935528017
fallalld,20hz_3s,lstm_classifier,classification,0.953515674446497,0.030189784894168008,0.780183451204931,0.08367777630810348,0.805156838953665,0.03494716095908952,0.7533357948632085,0.08298109500509926,0.9920970711546012,0.002300687006465042,0.7764707526846355,0.05188498851258379
fallalld,20hz_3s,isolation_forest,tsad,0.9705845157725175,0.01870047770249128,0.5674035594875176,0.1656819276403473,0.5713082843547801,0.09544939112318264,0.7370471323852665,0.1626800977944035,0.9744122291157314,0.014157461690873167,0.6374828354355394,0.1078463375227801
